Date/Time,"ID: 9021","ID: A821","ID: BF21","ID: 1221","ID: 0721","ID: 3721","ID: 4121","ID: D421","ID: 2421","ID: FA21"
"21-07-23 0:21:00",14,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 0:26:00",14,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 0:31:00",14,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 0:36:00",14,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 0:41:00",14,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 0:46:00",14,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 0:51:00",14,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 0:56:00",14,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 1:01:00",14,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 1:06:00",14,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 1:11:00",14,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 1:16:00",13.5,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 1:21:00",14,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 1:26:00",14,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 1:31:00",13.5,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 1:36:00",13.5,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 1:41:00",13.5,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 1:46:00",13.5,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 1:51:00",13.5,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 1:56:00",13.5,13.5,13.5,14,13.5,14,14,14,14,14
"21-07-23 2:01:00",13.5,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 2:06:00",13.5,13.5,13.5,14,13.5,14.5,14,14,14,14
"21-07-23 2:11:00",13.5,13.5,13.5,14,13.5,14,14,14,14,14
"21-07-23 2:16:00",13.5,13.5,13.5,14,13.5,14,14,14,14,14
"21-07-23 2:21:00",13.5,13.5,13.5,14,13.5,14,14,14,14,14
"21-07-23 2:26:00",13.5,13.5,13.5,14,13.5,14,14,14,14,14
"21-07-23 2:31:00",13.5,13.5,13.5,14,13.5,14,14,14,14,14
"21-07-23 2:36:00",13.5,13.5,13.5,14,13.5,14,14,14,14,14
"21-07-23 2:41:00",13.5,13.5,13.5,14,13.5,14,14,14,14,14
"21-07-23 2:46:00",13.5,13.5,13.5,14,13.5,14,14,14,14,14
"21-07-23 2:51:00",13.5,13.5,13.5,14,13.5,14,14,14,14,14
"21-07-23 2:56:00",13.5,13.5,13.5,14,13.5,14,14,14,14,14
"21-07-23 3:01:00",13.5,13.5,13.5,14,13.5,14,14,14,14,14
"21-07-23 3:06:00",13.5,13.5,13.5,14,13.5,14,14,14,14,14
"21-07-23 3:11:00",13.5,13.5,13.5,14,13.5,14,14,14,14,14
"21-07-23 3:16:00",13.5,13.5,13.5,14,13.5,14,14,14,14,14
"21-07-23 3:21:00",13.5,13.5,13.5,14,13.5,14,14,14,13.5,14
"21-07-23 3:26:00",13.5,13.5,13.5,14,13.5,14,14,14,13.5,14
"21-07-23 3:31:00",13.5,13.5,13.5,14,13.5,14,14,14,13.5,14
"21-07-23 3:36:00",13.5,13.5,13.5,14,13.5,14,14,14,13.5,14
"21-07-23 3:41:00",13.5,13.5,13.5,14,13.5,14,14,14,13.5,14
"21-07-23 3:46:00",13.5,13.5,13.5,14,13.5,14,14,14,13.5,14
"21-07-23 3:51:00",13.5,13.5,13.5,14,13.5,14,14,14,13.5,14
"21-07-23 3:56:00",13.5,13.5,13,14,13.5,14,14,14,13.5,14
"21-07-23 4:01:00",13.5,13.5,13,14,13.5,14,14,14,13.5,13.5
"21-07-23 4:06:00",13.5,13.5,13,14,13.5,14,14,14,13.5,13.5
"21-07-23 4:11:00",13.5,13.5,13,14,13.5,14,14,14,13.5,13.5
"21-07-23 4:16:00",13.5,13.5,13,14,13.5,14,14,14,13.5,13.5
"21-07-23 4:21:00",13.5,13.5,13,14,13.5,14,14,14,13.5,13.5
"21-07-23 4:26:00",13.5,13.5,13,14,13.5,14,14,14,13.5,13.5
